"gene_id","ILSGR0260r_S1_BC1.bam","ILSGR0260r_S1_BC10.bam","ILSGR0260r_S1_BC11.bam","ILSGR0260r_S1_BC12.bam","ILSGR0260r_S1_BC13.bam","ILSGR0260r_S1_BC14.bam","ILSGR0260r_S1_BC15.bam","ILSGR0260r_S1_BC16.bam","ILSGR0260r_S1_BC17.bam","ILSGR0260r_S1_BC18.bam","ILSGR0260r_S1_BC19.bam","ILSGR0260r_S1_BC2.bam","ILSGR0260r_S1_BC20.bam","ILSGR0260r_S1_BC21.bam","ILSGR0260r_S1_BC22.bam","ILSGR0260r_S1_BC23.bam","ILSGR0260r_S1_BC24.bam","ILSGR0260r_S1_BC25.bam","ILSGR0260r_S1_BC26.bam","ILSGR0260r_S1_BC27.bam","ILSGR0260r_S1_BC28.bam","ILSGR0260r_S1_BC29.bam","ILSGR0260r_S1_BC3.bam","ILSGR0260r_S1_BC30.bam","ILSGR0260r_S1_BC31.bam","ILSGR0260r_S1_BC32.bam","ILSGR0260r_S1_BC33.bam","ILSGR0260r_S1_BC34.bam","ILSGR0260r_S1_BC35.bam","ILSGR0260r_S1_BC36.bam","ILSGR0260r_S1_BC37.bam","ILSGR0260r_S1_BC38.bam","ILSGR0260r_S1_BC39.bam","ILSGR0260r_S1_BC4.bam","ILSGR0260r_S1_BC40.bam","ILSGR0260r_S1_BC5.bam","ILSGR0260r_S1_BC6.bam","ILSGR0260r_S1_BC7.bam","ILSGR0260r_S1_BC8.bam","ILSGR0260r_S1_BC9.bam"
"22433",0,8,0,2,14,0,0,0,19,12,7,14,25,6,0,11,0,5,2,2,6,9,15,25,0,42,0,27,21,0,48,2,17,3,1,7,7,22,11,12
"104479",0,4,0,0,27,0,23,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,16,0,0,3,0,43,0,0,8,0,0,8,15,0,39
"64660",0,12,0,0,47,9,0,0,48,70,61,4,1,6,0,29,5,0,0,30,77,25,5,2,6,94,0,27,18,0,39,3,21,34,1,1,17,2,0,50
"72046",29,5,0,0,2,0,0,0,5,1,1,0,0,0,0,0,0,2,0,12,0,0,2,0,0,7,0,14,0,0,3,2,0,5,0,0,0,0,0,0
"13169",0,23,0,0,46,1,34,0,21,3,4,15,5,3,0,25,38,0,1,22,21,10,15,13,0,84,0,8,11,0,77,47,15,40,0,9,32,0,0,42
"18972",0,9,0,0,1,0,0,0,36,1,31,0,5,0,0,0,1,0,0,13,0,8,0,8,0,20,0,21,23,0,19,5,22,13,0,0,13,4,0,25
"56418",11,11,0,0,16,27,0,0,26,37,52,5,0,6,0,0,0,0,0,7,25,12,9,34,0,84,0,28,19,0,25,0,0,18,0,11,3,0,0,25
"100042173",1,21,6,0,11,2,7,6,24,3,6,4,3,8,0,1,12,0,5,21,5,24,10,15,5,35,0,17,11,0,50,1,14,30,0,21,15,9,2,6
"52513",0,35,0,0,3,0,5,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,1,5,15,0,9,5,0,5,0,0,13,0,2,6,1,2,2
"18293",0,31,0,0,70,0,18,7,113,37,69,7,0,1,0,124,10,0,0,85,29,8,20,0,0,7,0,28,52,0,75,46,53,49,0,4,55,17,0,26
"52915",0,22,0,5,13,2,4,0,23,5,3,0,3,0,0,21,5,0,0,8,0,23,8,5,2,13,0,29,14,0,220,12,1,9,0,0,0,15,0,36
"268373",27,49,10,0,34,4,5,0,136,49,207,1,6,22,0,32,9,0,0,105,7,38,35,18,2,67,0,49,13,0,17,22,21,44,3,18,31,20,0,35
"77605",0,70,0,0,18,8,0,0,78,18,30,11,0,57,0,10,66,0,0,61,21,6,31,39,20,153,0,86,66,0,92,25,100,35,4,46,100,54,0,74
"19291",9,50,1,1,51,0,71,0,152,23,44,91,9,38,0,38,4,0,0,94,42,24,30,54,0,101,0,49,52,0,94,2,6,84,7,58,36,27,80,90
"246177",0,16,0,6,17,3,18,1,27,20,62,1,0,2,0,0,0,0,21,0,42,2,1,26,1,13,0,14,2,0,5,23,27,0,1,0,11,2,6,10
"100041286",0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,25,0,0,0,3,0,2,1,0,0,0,0,2,0,0,7,0,0,9,1,0,6,1,0,8
"216527",0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,0,6,0,0,0,29,0,2,0,0,1,0,8,0,2,6,7,0,13,0,2,5
"21379",0,13,0,0,15,12,8,6,32,17,24,0,0,0,0,2,0,0,0,14,0,31,16,9,4,36,0,24,4,0,54,27,0,23,0,14,30,17,0,49
"100503529",10,8,0,0,0,2,0,21,13,2,8,0,32,3,0,0,0,0,0,1,2,0,4,0,2,40,0,11,2,0,0,0,0,2,18,5,1,2,0,4
"319939",0,4,0,0,0,1,0,0,5,54,11,0,0,2,0,27,2,0,0,5,0,1,5,21,0,29,0,4,5,0,18,0,5,18,0,6,27,27,0,1
"15574",0,8,0,0,32,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,1,8,0,0,0,0,18,0,0,7,1,1,0
"22778",19,80,14,2,67,0,43,20,177,45,53,24,26,42,0,34,24,1,0,136,18,36,33,85,4,137,0,25,86,0,49,5,21,70,50,91,138,37,24,143
